Tc,Wb,Ec,Lb,Tb,Ea,σa,εa,Ab,Ar,Jt,Bt
1.4,50,165,90,1,4.84,41.8,1.13,4500,1.8,0,0
1.4,25,205,75,1,1.35,34.9,13.6,1875,3,1,1
1.5,50,205,40,0.5,2.229,34,1.8,2000,0.8,1,0
1.4,10,159.4,100,0.5,1.9,32,4,1000,10,1,1
0.2,50,205,90,0.5,2.229,34,1.8,4500,1.8,1,0
1.4,10,159.4,110,0.5,1.9,32,4,1100,11,1,1
1.4,10,159.4,80,0.5,1.9,32,4,800,8,1,1
1.4,50,164,90,1,4.84,41.8,1.08,4500,1.8,0,0
1.4,10,159.4,70,0.5,1.9,32,4,700,7,1,1
1.4,50,164,350,0.94,12.2,27.6,0.29,17500,7,0,0
1.4,10,159.4,30,0.5,1.9,32,4,300,3,1,1
1.9,25,117,60,0.74,4.95,30,0.61,1500,2.4,1,1
1.4,50,164,70,0.95,12.2,27.6,0.29,3500,1.4,0,0
1.4,25,205,75,1,7.6,33.16,0.54,1875,3,1,0
1.4,10,159.4,80,0.5,1.9,32,4,800,8,1,1
1.4,50,164,350,2,4.84,41.8,1.08,17500,7,0,0
1.4,25,205,75,1,1.35,34.9,13.6,1875,3,1,1
1.4,50,165,350,1,4.84,41.8,1.08,17500,7,0,0
1.4,25,205,30,1,7.6,33.16,0.54,750,1.2,1,0
1.4,10,159.4,110,0.5,1.9,32,4,1100,11,1,1
1.4,50,164,350,1,4.84,41.8,1.68,17500,7,0,0
1.4,25,205,75,1,1.35,34.9,13.6,1875,3,1,1
1.45,50,478.73,250,0.43,9.28,24,0.3,12500,5,1,0
1.4,20,457.8,70,0.5,1.9,32,4,1400,3.5,1,1
1.4,30,197,30,0.65,4.5,32,0.3,900,1,1,0
1.4,50,150,200,0.97,3.2,30,1.32,10000,4,1,0
1.4,50,165,80,1,1.7,20.5,1.52,4000,1.6,0,1
1.4,50,164,100,1,1.7,20.5,1.52,5000,2,0,1
1.26,10,163.3,25,1,8.432,21.76,0.34,250,2.5,1,0
3.005,20,165,10.3,2,4.5,30,0.09,206,0.52,0,0
1.4,20,457.8,60,0.5,1.9,32,4,1200,3,1,1
1.4,10,159.4,110,0.5,1.9,32,4,1100,11,1,1
1.44,25,185,220,1,1.75,15.1,1.74,5500,8.8,0,1
1.2,25,170,75,1,7.6,33.16,0.54,1875,3,1,0
1.4,50,161.2,180,1.21,11.14,25,0.3,9000,3.6,0,0
1.4,50,150,80,0.99,3.2,30,1.32,4000,1.6,1,0
1.4,50,165,110,1,4.84,41.8,1.13,5500,2.2,0,0
1.4,50,170,200,0.94,11.25,25.3,0.33,10000,4,0,0
1.2,50,165,120,1,3.65,21.4,0.59,6000,2.4,0,0
1.44,25,185,220,1,11.3,33.1,0.29,5500,8.8,0,0
1.4,10,159.4,30,0.5,1.9,32,4,300,3,1,1
1.9,25,117,30,0.67,4.87,30,0.61,750,1.2,1,0
1.4,10,159.4,90,0.5,1.9,32,4,900,9,1,1
1.4,50,164,350,0.5,3.85,38.3,1.33,17500,7,0,0
1.5,50,205,30,0.5,2.229,34,1.8,1500,0.6,1,0
1.4,10,159.4,60,0.5,1.9,32,4,600,6,1,1
0.2,50,205,90,0.5,2.229,34,1.8,4500,1.8,1,0
0.2,50,205,50,0.5,2.229,34,1.8,2500,1,1,0
0.5,25,230,180,0.7,2.03,24.8,1.22,4500,7.2,1,1
0.2,50,205,100,0.5,2.229,34,1.8,5000,2,1,0
0.2,50,205,80,0.5,2.229,34,1.8,4000,1.6,1,0
0.84,25,640,75,1,1.35,34.9,13.6,1875,3,1,1
1.45,50,478.73,100,0.31,1.9,28.6,2.4,5000,2,1,1
0.5,25,230,60,0.7,2.03,24.8,1.22,1500,2.4,1,1
1.4,10,159.4,70,0.5,1.9,32,4,700,7,1,1
1.5,25,173,200,0.88,3.15,52.81,1.92,5000,8,0,0
1.4,25,205,75,1,12.915,35.03,0.28,1875,3,1,0
1.2,50,150,300,3.04,11.25,22.34,0.3,15000,6,0,0
1.5,50,205,50,0.5,2.229,34,1.8,2500,1,1,0
0.5,25,230,160,0.7,2.03,24.8,1.22,4000,6.4,1,1
1.26,10,163.3,150,1,8.432,21.76,0.34,1500,15,1,0
1.4,50,170,200,1.5,11.25,25.3,0.33,10000,4,0,0
1.4,50,164,350,2,4.84,41.8,1.08,17500,7,0,0
1.4,50,164,350,0.99,1.75,15.1,1.74,17500,7,0,1
1.2,50,150,300,0.99,4.82,31.28,0.75,15000,6,0,0
